site_no,code,description
1614500,conoco,"Conococheague Creek at Fairfview, MD"
1644000,goose,"Goose Creek near Leesburg, VA"
1643000,mon_jug,"Monocacy River at Jug Bridge near Frederick, MD"
1595800,barnum,"North Branch Potomac River at Barnum, WV"
1595500,kitzmiller,"North Branch Potomac River at Kitzmiller, MD"
1598500,luke,"North Branch Potomac River at Luke, MD"
1603000,nbp_cumb,"North Branch Potomac River near Cumberland, MD"
1616500,opequan,"Opequon Creek near Martinsburg, WV"
1613000,hanc,"Potomac River at Hancock, MD"
1610000,paw,"Potomac River at Paw Paw, WV"
1638500,por,"Potomac River at Point of Rocks, MD"
1618000,shepherdstown,"Potomac River at Shepherdstown, WV"
1646500,lfalls,"Potomac River near Wash, DC Little Falls pump sta"
1597500,bloomington,"Savage River Below Savage River Dam Near Bloomington, MD"
1596500,barton,"Savage River Near Barton, MD"
1645000,seneca,"Seneca Creek at Dawsonville, MD"
1636500,shen_mill,"Shenandoah River at Millville, WV"
